level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1178	2556	-1	
2	1	1	0	0	0	39	68	1042	2119	-1	
3	1	1	1	0	0	39	46	1042	2156	-1	
4	1	1	1	1	0	39	68	1042	55	-1	
5	1	1	1	1	1	39	98	82	25	41.916050	Pr
5	1	1	1	1	2	926	69	51	37	54.317886	>
5	1	1	1	1	3	999	68	82	39	0.000000	/s
4	1	1	1	2	0	493	206	195	49	-1	
5	1	1	1	2	1	493	206	195	49	96.141533	Settings
4	1	1	1	3	0	108	293	953	34	-1	
5	1	1	1	3	1	108	293	87	34	21.533175	muy
5	1	1	1	3	2	244	293	239	11	6.777573	weer
5	1	1	1	3	3	1052	293	9	1	29.589867	-
4	1	1	1	4	0	114	503	254	83	-1	
5	1	1	1	4	1	114	503	79	83	24.876743	Cd
5	1	1	1	4	2	243	522	125	58	96.356133	Safari
4	1	1	1	5	0	127	676	238	49	-1	
5	1	1	1	5	1	127	676	49	49	85.864563	N
5	1	1	1	5	2	244	684	121	37	95.486656	News
4	1	1	1	6	0	104	809	344	95	-1	
5	1	1	1	6	1	104	809	95	95	30.597620	(s)
5	1	1	1	6	2	242	838	206	39	96.305992	Translate
4	1	1	1	7	0	108	969	255	87	-1	
5	1	1	1	7	1	108	969	87	87	75.477562	iow
5	1	1	1	7	2	244	996	119	45	96.329651	Maps
4	1	1	1	8	0	108	1125	352	87	-1	
5	1	1	1	8	1	108	1125	87	87	79.871948	9
5	1	1	1	8	2	243	1146	217	58	96.768997	Shortcuts
4	1	1	1	9	0	141	1295	245	50	-1	
5	1	1	1	9	1	141	1295	41	36	64.456429	Â©
5	1	1	1	9	2	244	1306	142	39	77.801247	Health
4	1	1	1	10	0	104	1433	425	95	-1	
5	1	1	1	10	1	104	1433	91	95	39.917702	Oo
5	1	1	1	10	2	243	1462	66	39	91.830048	Siri
5	1	1	1	10	3	345	1463	14	38	91.830048	&
5	1	1	1	10	4	388	1462	141	39	96.575233	Search
4	1	1	1	11	0	109	1594	289	85	-1	
5	1	1	1	11	1	109	1594	81	85	24.335308	Se
5	1	1	1	11	2	244	1618	154	39	96.095863	Photos
4	1	1	1	12	0	117	1758	424	70	-1	
5	1	1	1	12	1	117	1758	68	70	51.869205	2
5	1	1	1	12	2	243	1775	130	38	96.430786	Game
5	1	1	1	12	3	390	1775	151	38	96.267250	Center
4	1	1	1	13	0	244	2140	228	47	-1	
5	1	1	1	13	1	244	2140	228	47	96.468697	Developer
